thomas_name,first_name,last_name,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,les
"Adams, Alma",Alma,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aderholt, Robert",Robert,Aderholt,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0.908495426
"Alexander, Rodney",Rodney,Alexander,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0.507558048
"Amash, Justin",Justin,Amash,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.091389112
"Amodei, Mark",Mark,Amodei,0,0,0,0,0,17,11,7,4,1,0,0,0,0,3.128457308
"Andrews, Robert",Robert,Andrews,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0.091389112
"Bachmann, Michele",Michele,Bachmann,2,0,1,1,0,8,0,0,0,0,1,1,1,1,0.836119056
"Bachus, Spencer",Spencer,Bachus,1,1,1,0,0,4,2,2,1,0,0,0,0,0,1.038942099
"Barber, Ron",Ron,Barber,1,0,0,0,0,11,1,0,0,0,2,0,0,0,0.306935996
"Barletta, Lou",Lou,Barletta,1,1,1,1,1,11,2,2,1,0,0,0,0,0,2.381305218
"Barr, Andy",Andy,Barr,0,0,0,0,0,15,3,4,3,0,0,0,0,0,1.364548564
"Barrow, John",John,Barrow,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.182778224
"Barton, Joe",Joe,Barton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.076157592
"Bass, Karen",Karen,Bass,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0.426091492
"Beatty, Joyce",Joyce,Beatty,0,0,0,0,0,11,0,1,1,0,1,0,0,0,0.413906276
"Becerra, Xavier",Xavier,Becerra,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Benishek, Dan",Dan,Benishek,0,0,0,0,0,14,5,4,2,1,1,1,1,1,2.048213482
"Bentivolio, Kerry",Kerry,Bentivolio,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0.544156671
"Bera, Ami",Ami,Bera,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.076157592
"Bilirakis, Gus",Gus,Bilirakis,0,0,0,0,0,25,4,3,2,0,0,0,0,0,1.376384139
"Bishop, Timothy",Timothy,Bishop,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0.280259937
"Bishop, Sanford",Sanford,Bishop,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.045694556
"Bishop, Rob",Rob,Bishop,0,0,0,0,0,15,11,9,3,1,0,0,0,0,3.147586107
"Black, Diane",Diane,Black,1,0,1,1,1,26,2,2,1,0,0,0,0,0,2.404110909
"Blackburn, Marsha",Marsha,Blackburn,1,0,1,1,0,27,0,0,0,0,0,0,0,0,0.928340614
"Blumenauer, Earl",Earl,Blumenauer,1,0,1,1,1,22,1,2,2,2,0,0,0,0,3.330415487
"Boehner, John",John,Boehner,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Bonamici, Suzanne",Suzanne,Bonamici,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0.84226042
"Bonner, Jo",Jo,Bonner,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Bordallo, Madeleine",Madeleine,Bordallo,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0.923726976
