first_name,last_name,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,les
Lisa,Murkowski,1,0,1,1,0,73,40,14,3,1,2,1,0,0,2.763
Daniel,Sullivan,0,0,0,0,0,24,8,7,3,1,1,0,0,0,1.107
Jeff,Sessions,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0.063
Richard,Shelby,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0.235
John,Boozman,0,0,0,0,0,15,6,4,0,0,2,1,1,1,0.461
Tom,Cotton,0,0,0,0,0,19,1,1,1,1,0,0,0,0,0.465
Jeff,Flake,0,0,0,0,0,50,16,5,1,0,0,0,0,0,0.983
John,McCain,2,1,2,1,1,35,8,5,1,0,0,0,0,0,1.506
Barbara,Boxer,0,0,0,0,0,47,8,4,1,1,0,0,0,0,0.915
Diane,Feinstein,0,0,0,0,0,42,12,5,4,3,0,0,0,0,1.73
Michael,Bennet,0,0,0,0,0,26,5,2,0,0,0,0,0,0,0.35
Cory,Gardner,0,0,0,0,0,31,12,9,3,3,2,0,1,1,1.77
Richard,Blumenthal,0,0,0,0,0,60,7,1,0,0,0,0,0,0,0.557
Christopher,Murphy,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0.228
Eleanor,Norton,0,0,0,0,0,48,4,4,2,1,0,0,0,0,2.122
Thomas,Carper,0,0,0,0,0,29,16,15,5,4,0,0,0,0,2.415
Christopher,Coons,1,1,0,0,0,27,5,0,0,0,0,0,0,0,0.343
Bill,Nelson,0,0,0,0,0,37,4,3,1,1,0,0,0,0,0.719
Marco,Rubio,0,0,0,0,0,53,9,7,2,2,0,0,0,0,1.381
Johnny,Isakson,0,0,0,0,0,27,9,8,3,1,1,0,0,0,1.187
David,Perdue,0,0,0,0,0,12,2,1,1,0,0,0,0,0,0.261
Mazie,Hirono,0,0,0,0,0,38,8,1,1,1,2,1,1,1,0.826
Brian,Schatz,0,0,0,0,0,29,6,4,2,1,0,0,0,0,0.866
Joni,Ernst,0,0,0,0,0,13,6,6,2,1,1,0,0,0,0.851
Chuck,Grassley,2,2,2,0,0,70,17,15,7,2,0,0,0,0,2.778
Mike,Crapo,0,0,0,0,0,26,5,3,0,0,1,0,0,0,0.389
James,Risch,0,0,0,0,0,15,9,5,0,0,0,0,0,0,0.501
Richard,Durbin,0,0,0,0,0,47,1,1,0,0,2,1,1,1,0.366
Mark,Kirk,0,0,0,0,0,66,9,7,2,1,1,0,0,0,1.267
Daniel,Coats,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.074
Joe,Donnelly,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0.074
Jerry,Moran,0,0,0,0,0,39,15,8,3,1,0,0,0,0,1.407
Pat,Roberts,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0.309
Mitch,McConnell,0,0,0,0,0,8,1,3,1,1,0,0,0,0,0.478
Rand,Paul,0,0,0,0,0,54,2,2,0,0,0,0,0,0,0.433
Bill,Cassidy,1,0,0,0,0,37,7,3,1,0,1,1,1,1,0.69
David,Vitter,1,0,1,0,0,122,19,14,2,2,0,0,0,0,2.376
Edward,Markey,0,0,0,0,0,56,10,2,0,0,5,0,0,0,0.654
Elizabeth,Warren,0,0,0,0,0,26,1,1,1,0,0,0,0,0,0.316
Benjamin,Cardin,0,0,0,0,0,54,12,11,6,2,1,0,0,0,2.033
Barbara,Mikulski,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0.157
Susan,Collins,0,0,0,0,0,33,4,5,2,1,0,0,0,0,0.876
Angus,King,0,0,0,0,0,24,7,1,0,0,0,0,0,0,0.352
Gary,Peters,0,0,0,0,0,23,5,3,1,1,2,0,1,1,0.733
Debbie,Stabenow,0,0,0,0,0,27,2,1,0,0,1,0,0,0,0.243
